ID,Title,Author,Year,Format,File
1,Pengantar Psikologi,Adnan Achiruddin Saleh,2018,PDF,ebook/Buku Pengantar Psikologi.pdf
2,Bongkar Rahasia Pemrograman,Yusup Indra Wijaya,2024,PDF,ebook/Buku Bongkar Rahasia Pemrograman.pdf
3,Pengantar Ilmu Komunikasi,Ali Nurdin,2013,PDF,ebook/Buku Pengantar Ilmu Komunikasi.pdf
4,Komunikasi Manusia,Kadri,2022,PDF,ebook/Buku Komunikasi Manusia.pdf
5,Sistem Hukum Indonesia,Sahat Maruli Tua Situmeang,2020,PDF,ebook/Buku Sistem Hukum Indonesia.pdf
6,Psikologi Kepribadian Islam,Bambang Samsul Arifin,2018,PDF,ebook/Buku Buku Psikologi Kepribadian Islam.pdf
7,Psikologi Perkembangan Dewasa Muda,Agoes Dariyo,2004,PDF,ebook/Buku Psikologi Perkembangan Dewasa Muda.pdf
8,Tenggelamnya Kapal van der Wijck,Hamka,1984,PDF,ebook/Buku Tenggelamnya Kapal van der Wijck.pdf
9,Manajemen Farmasi,Gemy Nastity Handayany,2022,PDF,ebook/Buku Buku Manajemen Farmasi.pdf
10,Royan Revolusi,Ramadhan Karta Hadimadja,1986,PDF,ebook/Buku Royan Revolusi.pdf
11,Ringkasan Materi VR,Yasinta Fairani,2025,PDF,ebook/Ringkasan Kuliah Tamu Materi VR.pdf
